,Unnamed: 0,Country Name,Country Code,2017,total_population,Region,Victims_per_1000_population,Est. number of people in modern slavery,Factor One Governance Issues,Factor Two Nourishment and Access,Factor Three Inequality,Factor Four Disenfranchised Groups,Factor Five Effects of Conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,Criminal justice,%.1,Coordination,%.2,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%.3,Supply chains,%.4,SUM/104,SUM Neg,TOTAL,Credit rating,HDI_Rank,Education_Access_Score,gdp_2017,gdp_per_capita
28,46,Costa Rica,CRI,2856006597.34999,4808000.0,Americas,1.3,6000.0,35.2,16.7,40.7,29.4,12.2,28.4,4.8,53.7,2.5,41.7,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,14.0,0.0,50.0,BB,68.0,0.653921604,58481858043.0,12163.0
30,51,Cyprus,CYP,18360048657.1823,1161000.0,Europe and Central Asia,4.2,5000.0,24.5,16.7,32.6,29.7,10.1,19.1,6.1,68.1,4.7,77.8,2.3,56.3,0.0,0.0,4.3,61.9,0.4,18.3,17.8,0.0,63.4,BBB,32.0,0.776198377,22638608224.0,19499.0
31,52,Czech Republic,CZE,11234740946.0941,10604000.0,Europe and Central Asia,2.9,31000.0,25.1,13.9,21.0,37.1,18.2,19.1,4.2,47.0,3.3,54.4,3.3,81.3,0.0,0.0,3.5,50.0,0.6,28.3,14.8,0.0,52.9,BB,28.0,0.866222222,215914000000.0,20362.0
32,53,Germany,DEU,118225590102.648,81708000.0,Europe and Central Asia,2.0,167000.0,15.9,15.0,22.8,15.7,24.7,10.4,5.6,61.7,3.5,57.8,2.3,56.3,0.0,0.0,4.0,57.1,0.7,36.7,16.0,0.0,57.1,BB,6.0,0.884371952,3665800000000.0,44865.0
33,54,Djibouti,DJI,164933603.421112,927000.0,Africa,7.1,7000.0,66.8,38.0,33.9,48.1,21.3,61.2,2.7,30.4,2.6,42.8,1.3,31.3,0.0,0.0,3.3,47.6,0.0,0.0,9.9,0.0,35.3,CCC,170.0,0.305877778,2751461056.0,2968.0
34,56,Denmark,DNK,3376912366.96593,5689000.0,Europe and Central Asia,1.6,9000.0,8.7,15.3,13.8,15.2,12.5,1.0,5.6,62.6,3.4,56.1,2.0,50.0,0.0,0.0,4.8,69.0,0.6,28.3,16.4,0.0,58.6,BB,10.0,0.872826055,329417000000.0,57904.0
35,57,Dominican Republic,DOM,3597900000.0,10528000.0,Americas,4.0,42000.0,42.5,28.7,46.1,38.8,21.8,43.1,6.2,69.1,4.7,78.3,1.5,37.5,-1.0,0.0,4.8,69.0,0.0,0.0,17.3,-1.0,58.0,BB,102.0,0.590170542,79997975622.0,7599.0
36,58,Algeria,DZA,1200965279.93224,39872000.0,Africa,2.7,106000.0,63.2,17.9,27.8,37.0,43.6,52.0,2.7,29.4,2.8,47.2,1.5,37.5,0.0,0.0,3.2,45.2,0.0,0.0,10.2,0.0,36.3,CCC,93.0,0.642588889,167389000000.0,4198.0
37,64,Ecuador,ECU,624545412.259196,16144000.0,Americas,2.4,39000.0,46.0,23.0,46.4,29.1,23.0,41.3,5.5,61.1,3.3,55.6,1.5,37.5,-1.0,0.0,3.7,52.4,0.0,0.0,14.0,-1.0,46.4,B,98.0,0.5938375,104296000000.0,6460.0
38,68,Spain,ESP,24978595612.8996,46398000.0,Europe and Central Asia,2.3,105000.0,17.2,18.3,33.5,15.1,14.2,12.8,7.1,79.3,3.9,65.6,2.5,62.5,0.0,0.0,5.2,73.8,0.0,0.0,18.7,0.0,66.9,BBB,27.0,0.794396973,1312550000000.0,28289.0
