,country,total_population,Region,victims_per_1000_population,Est. number of people in modern slavery,factor_one_governance_issues,Factor Two Nourishment and Access,factor_three_inequality,Factor Four Disenfranchised Groups,factor_five_effects_of_conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,criminal_justice,%.1,Coordination,%.2,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%.3,Supply chains,%.4,SUM/104,SUM Neg,TOTAL,Credit rating,education_access_score,hdi_rank,gdp_per_capita,gdp_per_capita2
37,Equatorial Guinea,1175000.0,Africa,6.4,7000.0,68.4,40.8,36.7,48.5,10.1,61.7,0.3,3.7,0.7,12.2,0.5,12.5,-1.0,0.0,1.8,26.2,0.0,0.0,3.4,-1.0,8.6,D,0.414911111,144.0,10384.0,107827456.0
38,Ethiopia,99873000.0,Africa,6.1,614000.0,62.4,47.5,27.3,34.6,55.3,64.5,2.5,27.8,3.1,51.1,2.3,56.3,-1.0,0.0,3.3,47.6,0.0,0.0,11.2,-1.0,36.3,CCC,0.316521973,173.0,819.0,670761.0
39,India,1309054000.0,Asia and the Pacific,6.1,7989000.0,46.2,29.8,32.4,41.1,80.0,55.5,4.2,46.3,3.2,53.3,2.3,56.3,0.0,0.0,3.2,45.2,0.0,0.0,12.8,0.0,45.7,B,0.472666667,135.0,2026.0,4104676.0
40,Croatia,4236000.0,Europe and Central Asia,6.0,25000.0,35.7,20.2,34.1,48.3,12.2,32.7,6.9,77.0,4.7,78.3,2.3,56.3,0.0,0.0,4.8,69.0,0.4,18.3,19.1,0.0,68.2,BBB,0.770334477,47.0,13059.0,170537481.0
41,Nepal,28656000.0,Asia and the Pacific,6.0,171000.0,52.0,35.6,32.2,8.7,34.7,44.1,3.2,35.2,2.5,41.7,2.0,50.0,-1.0,0.0,4.2,59.5,0.0,0.0,11.8,-1.0,38.7,CCC,0.452311111,145.0,879.0,772641.0
42,Montenegro,628000.0,Europe and Central Asia,5.9,4000.0,39.4,15.0,37.4,50.9,18.3,35.8,7.1,79.3,4.2,70.0,2.3,56.3,0.0,0.0,4.3,61.9,0.0,0.0,17.9,0.0,64.0,BBB,0.773555556,51.0,7733.0,59799289.0
43,Lithuania,2932000.0,Europe and Central Asia,5.8,17000.0,29.2,15.4,35.6,46.3,9.7,26.2,4.2,46.3,3.8,62.8,2.8,68.8,0.0,0.0,5.5,78.6,0.4,18.3,16.6,0.0,59.1,BB,0.876659891,35.0,16286.0,265233796.0
44,Zambia,16101000.0,Africa,5.7,92000.0,45.8,54.4,44.9,49.1,13.1,55.2,3.0,33.3,2.1,34.4,1.0,25.0,0.0,0.0,2.8,40.5,0.0,0.0,8.9,0.0,31.8,CCC,0.591333333,141.0,1607.0,2582449.0
45,Haiti,10711000.0,Americas,5.6,59000.0,62.4,49.7,54.1,56.8,20.1,69.6,4.5,49.6,2.6,42.8,0.8,18.8,0.0,0.0,3.3,47.6,0.0,0.0,11.1,0.0,39.7,CCC,0.374277778,168.0,785.0,616225.0
46,Russian Federation,143888000.0,Europe and Central Asia,5.5,794000.0,59.3,13.5,38.6,34.1,51.9,51.6,1.5,17.0,1.9,32.2,1.5,37.5,-1.0,-1.0,2.8,40.5,0.0,0.0,7.8,-2.0,20.7,CC,0.779955556,57.0,10940.0,119683600.0
47,Benin,10576000.0,Africa,5.5,58000.0,51.1,28.8,39.9,35.3,15.8,45.0,2.8,30.6,1.9,31.7,2.3,56.3,0.0,0.0,3.7,52.4,0.0,0.0,10.6,0.0,37.7,CCC,0.413555556,165.0,1201.0,1442401.0
48,Mozambique,28011000.0,Africa,5.4,152000.0,48.6,48.3,40.5,48.1,30.0,57.0,5.2,57.6,3.0,49.4,1.3,31.3,-1.0,0.0,3.0,42.9,0.0,0.0,12.4,-1.0,40.7,B,0.372055556,178.0,472.0,222784.0
49,Armenia,2917000.0,Europe and Central Asia,5.3,16000.0,51.1,18.9,33.8,46.3,22.1,43.6,4.9,54.6,3.1,51.1,2.3,56.3,0.0,0.0,4.7,66.7,0.0,0.0,14.9,0.0,53.2,BB,0.701366667,87.0,3952.0,15618304.0
50,Uzbekistan,30976000.0,Europe and Central Asia,5.2,160000.0,71.7,20.3,32.6,9.0,18.0,47.5,2.7,30.2,2.0,33.9,1.3,31.3,-1.0,-1.0,4.5,64.3,0.0,0.0,10.5,-2.0,30.4,CCC,0.651111111,116.0,1910.0,3648100.0
51,Sierra Leone,7237000.0,Africa,5.0,36000.0,50.9,46.1,41.2,48.1,18.1,55.2,4.8,53.7,2.3,37.8,2.0,50.0,0.0,0.0,3.8,54.8,0.0,0.0,13.5,0.0,46.2,B,0.3045,183.0,517.0,267289.0
52,Ghana,27583000.0,Africa,4.8,133000.0,52.6,29.1,42.0,53.7,21.6,52.2,2.2,24.8,2.0,33.3,1.5,37.5,-1.0,0.0,2.8,40.5,0.2,8.3,8.7,-1.0,27.6,CC,0.552744444,138.0,2139.0,4575321.0
