,Country,Country Code,2017
242,Turkey,TUR,11099000000.0
243,Tuvalu,TUV,300000.0
244,Tanzania,TZA,937700000.0
245,Uganda,UGA,802704141.0085679
246,Ukraine,UKR,2827000000.0
247,Upper middle income,UMC,418759862948.509
248,Uruguay,URY,2652611060.9285603
249,United States,USA,354649000000.0
250,Uzbekistan,UZB,1797341435.6538103
251,St. Vincent and the Grenadines,VCT,153111526.373568
252,"Venezuela, RB",VEN,-68000000.0
253,British Virgin Islands,VGB,57635294000.0
254,Virgin Islands (U.S.),VIR,
255,Vietnam,VNM,14100000000.0
256,Vanuatu,VUT,38222690.1627779
257,World,WLD,2065300452519.74
258,Samoa,WSM,9215371.78697386
259,Kosovo,XKX,286835212.112418
260,"Yemen, Rep.",YEM,-269850000.0
261,South Africa,ZAF,2058579911.05235
262,Zambia,ZMB,1107519804.84533
263,Zimbabwe,ZWE,247187738.788
